,tmax,tmin,rain,tmax_tomorrow,tmax_3,tmax_5,tmax_7,tmax_14,tmax_30,tmax_60,tmax_90
1980-10-06,71.0,57.0,0.0,76.0,70.33333333333333,80.2,83.85714285714286,79.78571428571429,75.56666666666666,72.08333333333333,72.77777777777777
1980-10-07,76.0,53.0,0.0,78.0,71.33333333333333,75.8,81.42857142857143,79.07142857142857,75.7,72.23333333333333,72.81111111111112
1980-10-08,78.0,54.0,0.0,68.0,75.0,73.0,79.28571428571429,78.92857142857143,75.93333333333334,72.36666666666666,72.82222222222222
1980-10-09,68.0,55.0,0.0,63.0,74.0,72.0,75.0,78.64285714285714,75.96666666666667,72.33333333333333,72.82222222222222
1980-10-10,63.0,57.0,0.0,65.0,69.66666666666667,71.2,70.85714285714286,78.21428571428571,75.73333333333333,72.26666666666667,72.76666666666667
1980-10-11,65.0,54.0,0.02,69.0,65.33333333333333,70.0,69.71428571428571,78.21428571428571,75.66666666666667,72.23333333333333,72.72222222222223
1980-10-12,69.0,59.0,0.04,66.0,65.66666666666667,68.6,70.0,78.0,75.73333333333333,72.36666666666666,72.66666666666667
1980-10-13,66.0,56.0,0.05,65.0,66.66666666666667,66.2,69.28571428571429,76.57142857142857,75.76666666666667,72.41666666666667,72.5
1980-10-14,65.0,54.0,0.0,66.0,66.66666666666667,65.6,67.71428571428571,74.57142857142857,75.66666666666667,72.28333333333333,72.41111111111111
1980-10-15,66.0,50.0,0.0,66.0,65.66666666666667,66.2,66.0,72.64285714285714,75.33333333333333,72.21666666666667,72.34444444444445
1980-10-16,66.0,49.0,0.0,68.0,65.66666666666667,66.4,65.71428571428571,70.35714285714286,75.06666666666666,72.13333333333334,72.36666666666666
1980-10-17,68.0,49.0,0.0,67.0,66.66666666666667,66.2,66.42857142857143,68.64285714285714,74.7,72.1,72.32222222222222
1980-10-18,67.0,49.0,0.0,73.0,67.0,66.4,66.71428571428571,68.21428571428571,74.53333333333333,71.96666666666667,72.25555555555556
1980-10-19,73.0,47.0,0.0,72.0,69.33333333333333,68.0,67.28571428571429,68.64285714285714,74.6,71.98333333333333,72.26666666666667
1980-10-20,72.0,47.0,0.0,74.0,70.66666666666667,69.2,68.14285714285714,68.71428571428571,74.7,72.06666666666666,72.3
1980-10-21,74.0,49.0,0.0,74.0,73.0,70.8,69.42857142857143,68.57142857142857,74.6,72.16666666666667,72.34444444444445
1980-10-22,74.0,48.0,0.0,76.0,73.33333333333333,72.0,70.57142857142857,68.28571428571429,74.23333333333333,72.23333333333333,72.34444444444445
1980-10-23,76.0,50.0,0.0,63.0,74.66666666666667,73.8,72.0,68.85714285714286,73.9,72.38333333333334,72.26666666666667
1980-10-24,63.0,55.0,0.0,60.0,71.0,71.8,71.28571428571429,68.85714285714286,73.33333333333333,72.33333333333333,72.12222222222222
